query_id,awr_file,elapsed_time,rows_processed,incident
7sqghk3hjnv8z,awrrpt_1_45771_45772.html,11939.53,0,1
10ud5c34gkf3v,awrrpt_1_45771_45772.html,11869.6,0,1
0m8hcra13hu5z,awrrpt_1_45771_45772.html,6390.36,0,1
6f31krnka6u5f,awrrpt_1_45771_45772.html,6390.36,0,1
24p7qg7sr456g,awrrpt_1_45771_45772.html,2781.0,0,1
gmk4kvnqy8rmh,awrrpt_1_45771_45772.html,2781.0,0,1
81p9u0v75h2jx,awrrpt_1_45771_45772.html,2551.12,0,1
3mjd4utrzqhnq,awrrpt_1_45771_45772.html,1884.12,0,1
2v6h49hj14v15,awrrpt_1_45771_45772.html,866.97,0,1
8drzxda9v4cvr,awrrpt_1_45771_45772.html,585.28,58520,1
g634auspqtvm8,awrrpt_1_45771_45772.html,585.49,117094,1
1mx5ff7hu4vbc,awrrpt_1_45771_45772.html,432.18,14202941,0
22q2s31jf3p73,awrrpt_1_45771_45772.html,343.11,1502086,0
dx0f2d8jy4dtv,awrrpt_1_45771_45772.html,338.58,0,1
4mduxcbvxt9at,awrrpt_1_45771_45772.html,334.79,14140562,0
2nd3zd8gqb8y1,awrrpt_1_45771_45772.html,289.4,14075660,0
8b205h8msgg9x,awrrpt_1_45771_45772.html,268.3,0,1
1mx5ff7hu4vbc,awrrpt_1_45771_45772.html,432.18,14202941,0
4mduxcbvxt9at,awrrpt_1_45771_45772.html,334.79,14140562,0
2nd3zd8gqb8y1,awrrpt_1_45771_45772.html,289.4,14075660,0
22q2s31jf3p73,awrrpt_1_45771_45772.html,343.11,1502086,0
g634auspqtvm8,awrrpt_1_45771_45772.html,122.09,117094,0
8drzxda9v4cvr,awrrpt_1_45771_45772.html,778.76,58520,1
dcysbmgpdmgdv,awrrpt_1_45771_45772.html,5.33,0,0
5dqz0hqtp9fru,awrrpt_1_45771_45772.html,2.95,33276,0
0k8522rmdzg4k,awrrpt_1_45771_45772.html,1.3599999999999999,35159,0
7u30snk13u30q,awrrpt_1_45771_45772.html,2.17,19670,0
0m8hcra13hu5z,awrrpt_1_45769_45770.html,3551.9,0,1
6f31krnka6u5f,awrrpt_1_45769_45770.html,3551.9,0,1
3mjd4utrzqhnq,awrrpt_1_45769_45770.html,1980.41,0,1
2v6h49hj14v15,awrrpt_1_45769_45770.html,846.24,0,1
8drzxda9v4cvr,awrrpt_1_45769_45770.html,408.82,40878,1
g634auspqtvm8,awrrpt_1_45769_45770.html,384.5,81794,1
22q2s31jf3p73,awrrpt_1_45769_45770.html,221.13,1042387,0
dx0f2d8jy4dtv,awrrpt_1_45769_45770.html,210.94,0,1
8b205h8msgg9x,awrrpt_1_45769_45770.html,199.98,0,0
2x20hw1qfpy67,awrrpt_1_45769_45770.html,199.98,0,0
24p7qg7sr456g,awrrpt_1_45769_45770.html,85.8,0,0
gmk4kvnqy8rmh,awrrpt_1_45769_45770.html,84.05,0,0
1v717nvrhgbn9,awrrpt_1_45769_45770.html,14.33,1287418,0
22q2s31jf3p73,awrrpt_1_45769_45770.html,221.13,1042387,0
gxxcxqu02knzp,awrrpt_1_45769_45770.html,17.57,101936,0
bnx76hvpmu8zm,awrrpt_1_45769_45770.html,11.16,68646,0
g634auspqtvm8,awrrpt_1_45769_45770.html,384.5,81794,1
8drzxda9v4cvr,awrrpt_1_45769_45770.html,564.52,40878,1
dcysbmgpdmgdv,awrrpt_1_45769_45770.html,4.04,0,0
5dqz0hqtp9fru,awrrpt_1_45769_45770.html,2.3,24681,0
0k8522rmdzg4k,awrrpt_1_45769_45770.html,1.1,25815,0
9jt0nr6xk5xht,awrrpt_1_45769_45770.html,0.08,1251,0
0m8hcra13hu5z,awrrpt_1_45770_45771.html,6002.36,0,1
6f31krnka6u5f,awrrpt_1_45770_45771.html,5951.92,0,1
3mjd4utrzqhnq,awrrpt_1_45770_45771.html,2197.35,0,1
2v6h49hj14v15,awrrpt_1_45770_45771.html,863.52,0,1
8drzxda9v4cvr,awrrpt_1_45770_45771.html,589.52,58949,1
g634auspqtvm8,awrrpt_1_45770_45771.html,589.67,117932,1
7sqghk3hjnv8z,awrrpt_1_45770_45771.html,482.5,0,1
10ud5c34gkf3v,awrrpt_1_45770_45771.html,480.5,0,1
22q2s31jf3p73,awrrpt_1_45770_45771.html,405.78,1495105,0
dx0f2d8jy4dtv,awrrpt_1_45770_45771.html,347.53000000000003,0,1
8b205h8msgg9x,awrrpt_1_45770_45771.html,292.5,0,1
2x20hw1qfpy67,awrrpt_1_45770_45771.html,263.25,0,1
24p7qg7sr456g,awrrpt_1_45770_45771.html,168.21,0,0
gmk4kvnqy8rmh,awrrpt_1_45770_45771.html,168.21,0,0
22q2s31jf3p73,awrrpt_1_45770_45771.html,405.78,1495105,0
1mx5ff7hu4vbc,awrrpt_1_45770_45771.html,17.86,852198,0
gxxcxqu02knzp,awrrpt_1_45770_45771.html,20.41,140877,0
bnx76hvpmu8zm,awrrpt_1_45770_45771.html,11.52,98641,0
g634auspqtvm8,awrrpt_1_45770_45771.html,567.0,117932,1
8drzxda9v4cvr,awrrpt_1_45770_45771.html,814.81,58949,1
dcysbmgpdmgdv,awrrpt_1_45770_45771.html,4.21,0,0
9nahxy8ca483f,awrrpt_1_45770_45771.html,22.74,53711,0
5dqz0hqtp9fru,awrrpt_1_45770_45771.html,2.65,34218,0
0k8522rmdzg4k,awrrpt_1_45770_45771.html,1.26,36249,0
9hbr96xyqkd8g,awrrpt_1_40877_40878.html,1094.52,0,1
8dz2xt4gcf0y0,awrrpt_1_40877_40878.html,860.38,100000,1
61y2197gjtnn2,awrrpt_1_40877_40878.html,213.79,100000,0
g2npjd287nbjb,awrrpt_1_40877_40878.html,207.1,0,1
8n00mddr12jk7,awrrpt_1_40877_40878.html,86.71,0,0
5c422htn28r6v,awrrpt_1_40877_40878.html,80.44,0,0
69p5ffj07qjm1,awrrpt_1_40877_40878.html,77.83,0,0
g6px76dmjv1jy,awrrpt_1_40877_40878.html,60.17,0,0
aj93kp0u437uq,awrrpt_1_40877_40878.html,43.95,0,0
bf5231j1dyxd4,awrrpt_1_40877_40878.html,34.13,0,0
52rfgfgmkfpv7,awrrpt_1_40877_40878.html,31.84,0,0
9a0dn73zskwra,awrrpt_1_40877_40878.html,28.78,0,0
2j68ajags31c9,awrrpt_1_40877_40878.html,27.0,0,0
786vjbkcy9tsk,awrrpt_1_40877_40878.html,26.54,0,0
fk0y71t51rdtr,awrrpt_1_40877_40878.html,19.94,0,0
dp1s9xxfxp2us,awrrpt_1_40877_40878.html,5.7,211869,0
61y2197gjtnn2,awrrpt_1_40877_40878.html,213.79,100000,0
8dz2xt4gcf0y0,awrrpt_1_40877_40878.html,69.82,100000,0
2p9fv35c7zxtg,awrrpt_1_40877_40878.html,0.3,3,0
5mscr4bry7b6c,awrrpt_1_40877_40878.html,17.04,3591,0
gxgs0vc3dw7c1,awrrpt_1_40877_40878.html,5.61,211869,0
8w5st001wrj4q,awrrpt_1_40877_40878.html,0.32,0,0
c79fcfw22nqu9,awrrpt_1_40877_40878.html,0.13,728,0
5dqz0hqtp9fru,awrrpt_1_40877_40878.html,0.1,3226,0
718fb5kwmgmf1,awrrpt_1_40877_40878.html,1.79,336,0
9hbr96xyqkd8g,awrrpt_1_40878_40879.html,2490.84,0,1
8dz2xt4gcf0y0,awrrpt_1_40878_40879.html,1444.37,963454,1
61y2197gjtnn2,awrrpt_1_40878_40879.html,834.34,963489,1
4y1571b2w463z,awrrpt_1_40878_40879.html,133.8,0,0
6urdwmd0zbtyq,awrrpt_1_40878_40879.html,126.07,0,0
g2npjd287nbjb,awrrpt_1_40878_40879.html,122.22,0,0
g6px76dmjv1jy,awrrpt_1_40878_40879.html,79.82,0,0
52rfgfgmkfpv7,awrrpt_1_40878_40879.html,58.56,0,0
aj93kp0u437uq,awrrpt_1_40878_40879.html,0.0,0,0
5mscr4bry7b6c,awrrpt_1_40878_40879.html,35.89,3589,0
61y2197gjtnn2,awrrpt_1_40878_40879.html,40.47,963489,0
8dz2xt4gcf0y0,awrrpt_1_40878_40879.html,1444.37,963454,1
dp1s9xxfxp2us,awrrpt_1_40878_40879.html,6.13,211751,0
2p9fv35c7zxtg,awrrpt_1_40878_40879.html,0.58,1,0
5mscr4bry7b6c,awrrpt_1_40878_40879.html,18.18,3589,0
gxgs0vc3dw7c1,awrrpt_1_40878_40879.html,5.98,211751,0
8w5st001wrj4q,awrrpt_1_40878_40879.html,0.32,0,0
5dqz0hqtp9fru,awrrpt_1_40878_40879.html,0.19,6333,0
c79fcfw22nqu9,awrrpt_1_40878_40879.html,0.13,736,0
3dbzmtf9ahvzt,awrrpt_1_40878_40879.html,0.14,424,0
g6px76dmjv1jy,awrrpt_1_40876_40877.html,59.39,0,0
52rfgfgmkfpv7,awrrpt_1_40876_40877.html,30.52,0,0
5mscr4bry7b6c,awrrpt_1_40876_40877.html,16.51,3593,0
0smupm8p2dhq7,awrrpt_1_40876_40877.html,10.05,0,0
f705bwx3q0ydq,awrrpt_1_40876_40877.html,7.3,0,0
3r7shgykwpz2c,awrrpt_1_40876_40877.html,6.62,0,0
dp1s9xxfxp2us,awrrpt_1_40876_40877.html,5.5600000000000005,211987,0
gxgs0vc3dw7c1,awrrpt_1_40876_40877.html,5.41,211987,0
22356bkgsdcnh,awrrpt_1_40876_40877.html,4.92,0,0
gxg599nkn13mh,awrrpt_1_40876_40877.html,3.94,0,0
70q9f64g60t0r,awrrpt_1_40876_40877.html,3.42,0,0
dbx3yp05gcxd7,awrrpt_1_40876_40877.html,3.29,0,0
8fcf84t5x94nt,awrrpt_1_40876_40877.html,3.2800000000000002,0,0
c9umxngkc3byq,awrrpt_1_40876_40877.html,2.04,0,0
9xpavwk040fb6,awrrpt_1_40876_40877.html,2.04,0,0
8hywfrqumv5xd,awrrpt_1_40876_40877.html,1.96,0,0
01n7n46gd0abh,awrrpt_1_40876_40877.html,2.2800000000000002,0,0
gr3x017hxxwvz,awrrpt_1_40876_40877.html,2.2800000000000002,0,0
718fb5kwmgmf1,awrrpt_1_40876_40877.html,1.6600000000000001,0,0
9vux20y6q29nu,awrrpt_1_40876_40877.html,1.52,0,0
3uv0j2fnhwpf1,awrrpt_1_40876_40877.html,1.44,0,0
950ptzaysg9x6,awrrpt_1_40876_40877.html,1.27,0,0
fhf8upax5cxsz,awrrpt_1_40876_40877.html,1.04,0,0
7yy327zur6fmu,awrrpt_1_40876_40877.html,1.03,7663,0
0w26sk6t6gq98,awrrpt_1_40876_40877.html,1.02,0,0
1y4f4wtu63797,awrrpt_1_40876_40877.html,0.98,0,0
dp1s9xxfxp2us,awrrpt_1_40876_40877.html,5.5600000000000005,211987,0
7yy327zur6fmu,awrrpt_1_40876_40877.html,1.03,7663,0
2p9fv35c7zxtg,awrrpt_1_40876_40877.html,0.26,0,0
5mscr4bry7b6c,awrrpt_1_40876_40877.html,16.51,3593,0
gxgs0vc3dw7c1,awrrpt_1_40876_40877.html,5.41,211987,0
22q2s31jf3p73,awrrpt_1_40876_40877.html,0.55,1481,0
950ptzaysg9x6,awrrpt_1_40876_40877.html,1.27,0,0
8w5st001wrj4q,awrrpt_1_40876_40877.html,0.3,0,0
c79fcfw22nqu9,awrrpt_1_40876_40877.html,0.12,728,0
5dqz0hqtp9fru,awrrpt_1_40876_40877.html,0.09,3168,0
